Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
1, 0, LOC_CITY_NAME_TENOCHTITLAN, 3.95, 0.81, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: -0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 1, LOC_CITY_NAME_POKROVKA, 5.08, 0.57, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: -0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_SCOUT, Default Specialization, , , Value 16.9
1, 3, LOC_CITY_NAME_AACHEN, 4.40, -2.27, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 3, LOC_CITY_NAME_AACHEN, , , UNIT_SCOUT, Default Specialization, , , Value 16.9
1, 4, LOC_CITY_NAME_PARIS, -2.61, 0.10, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 4, LOC_CITY_NAME_PARIS, , , UNIT_SCOUT, Default Specialization, , , Value 21.3
1, 6, LOC_CITY_NAME_HATTUSA, -1.94, -2.75, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.1, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 6, LOC_CITY_NAME_HATTUSA, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 7, LOC_CITY_NAME_JERUSALEM, -0.35, 2.00, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 7, LOC_CITY_NAME_JERUSALEM, , , BUILDING_MONUMENT, Default Specialization, , , Value 16.9
1, 8, LOC_CITY_NAME_CARTHAGE, -1.48, -0.37, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 8, LOC_CITY_NAME_CARTHAGE, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 9, LOC_CITY_NAME_PRESLAV, 1.23, 0.34, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: -0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 9, LOC_CITY_NAME_PRESLAV, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 10, LOC_CITY_NAME_LISBON, 0.55, -0.13, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 10, LOC_CITY_NAME_LISBON, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 11, LOC_CITY_NAME_KABUL, 2.81, -3.70, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 11, LOC_CITY_NAME_KABUL, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 12, LOC_CITY_NAME_YEREVAN, 0.32, -0.37, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.1, , 
1, 12, LOC_CITY_NAME_YEREVAN, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 13, LOC_CITY_NAME_KANDY, -1.48, -1.32, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 13, LOC_CITY_NAME_KANDY, , , UNIT_SLINGER, Default Specialization, , , Value 4.5
1, 14, LOC_CITY_NAME_SEOUL, 1.23, 1.29, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: 0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: -0.1, , 
1, 14, LOC_CITY_NAME_SEOUL, , , BUILDING_MONUMENT, Default Specialization, , , Value 16.9
3, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 66, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 14.0, Build Trigger Unit
3, 4, LOC_CITY_NAME_PARIS, , , UNIT_BUILDER, Build City Improvement, CONTRACT 26
3, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 68, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 82.0, Build City Improvement
3, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 69, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 27.0, Build Trigger Unit
3, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 70, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 23.0, Build City Building
3, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 73, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 14.0, Build Trigger Unit
3, 7, LOC_CITY_NAME_JERUSALEM, , CONTRACT 75, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 75.0, Build City Improvement
4, 1, LOC_CITY_NAME_POKROVKA, , , BUILDING_MONUMENT, Build City Building, CONTRACT 9
4, 3, LOC_CITY_NAME_AACHEN, , , UNIT_BUILDER, Build City Improvement, CONTRACT 19
4, 5, LOC_CITY_NAME_ST_PETERSBURG, , , UNIT_BUILDER, Build City Improvement, CONTRACT 68
5, 13, LOC_CITY_NAME_KANDY, , , UNIT_BUILDER, Build City Improvement, CONTRACT 55
6, 2, LOC_CITY_NAME_WASHINGTON, , , UNIT_BUILDER, Build City Improvement, CONTRACT 64
7, 4, LOC_CITY_NAME_PARIS, , CONTRACT 26, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
7, 4, LOC_CITY_NAME_PARIS, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 23
7, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 68, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 82.0, Build City Improvement
7, 5, LOC_CITY_NAME_ST_PETERSBURG, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 69
9, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 9, COMPLETED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 47.6, Build City Building
9, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 7
9, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 19, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
9, 3, LOC_CITY_NAME_AACHEN, , , BUILDING_GRANARY, Default Specialization, , , Value 82.3
9, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 95, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 82.0, Build City Building
9, 4, LOC_CITY_NAME_PARIS, , CONTRACT 23, COMPLETED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 26.0, Build Trigger Unit
9, 4, LOC_CITY_NAME_PARIS, , , BUILDING_MONUMENT, Default Specialization, , , Value 25.4
9, 4, LOC_CITY_NAME_PARIS, , CONTRACT 97, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 25.0, Build City Building
9, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 69, COMPLETED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 27.0, Build Trigger Unit
9, 5, LOC_CITY_NAME_ST_PETERSBURG, , , BUILDING_MONUMENT, Build City Building, CONTRACT 70
9, 6, LOC_CITY_NAME_HATTUSA, , CONTRACT 101, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 30.0, Build City Building
9, 7, LOC_CITY_NAME_JERUSALEM, , CONTRACT 102, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 33.0, Build City Building
9, 9, LOC_CITY_NAME_PRESLAV, , CONTRACT 104, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 19.0, Build City Building
9, 10, LOC_CITY_NAME_LISBON, , CONTRACT 105, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 16.0, Build City Building
9, 11, LOC_CITY_NAME_KABUL, , CONTRACT 106, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 19.0, Build City Building
9, 13, LOC_CITY_NAME_KANDY, , CONTRACT 55, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 64.0, Build City Improvement
9, 13, LOC_CITY_NAME_KANDY, , , BUILDING_GRANARY, Default Specialization, , , Value 19.2
10, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 64, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
10, 2, LOC_CITY_NAME_WASHINGTON, , , BUILDING_GRANARY, Default Specialization, , , Value 68.4
10, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 111, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 68.0, Build City Building
10, 4, LOC_CITY_NAME_PARIS, , CONTRACT 112, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 145.0, Build City District
10, 7, LOC_CITY_NAME_JERUSALEM, , , UNIT_BUILDER, Build City Improvement, CONTRACT 75
10, 14, LOC_CITY_NAME_SEOUL, , , UNIT_BUILDER, Build City Improvement, CONTRACT 59
11, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 7, COMPLETED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 16.0, Build Trigger Unit
11, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_WARRIOR, Default Specialization, , , Value 10.3
11, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 116, SUBMITTED, NO_UNIT, BUILDING_STONEHENGE, NO_DISTRICT, VALUE 134.0, Seek Target Wonder
11, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 118, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_LAVRA, VALUE 206.0, Build City District
11, 7, LOC_CITY_NAME_JERUSALEM, , CONTRACT 119, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 185.0, Build City District
11, 13, LOC_CITY_NAME_KANDY, , CONTRACT 121, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 195.0, Build City District
12, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 123, SUBMITTED, NO_UNIT, BUILDING_STONEHENGE, NO_DISTRICT, VALUE 119.0, Seek Target Wonder
12, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 125, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 57.0, Build Trigger Unit
12, 4, LOC_CITY_NAME_PARIS, , CONTRACT 97, ACCEPTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 25.0, Build City Building
12, 4, LOC_CITY_NAME_PARIS, , , DISTRICT_HOLY_SITE, Build City District, CONTRACT 112
12, 6, LOC_CITY_NAME_HATTUSA, , CONTRACT 128, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 73.0, Build City Improvement
12, 7, LOC_CITY_NAME_JERUSALEM, , CONTRACT 75, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 75.0, Build City Improvement
12, 7, LOC_CITY_NAME_JERUSALEM, , , DISTRICT_HOLY_SITE, Build City District, CONTRACT 119
12, 8, LOC_CITY_NAME_CARTHAGE, , , UNIT_WARRIOR, Default Specialization, , , Value 12.0
12, 8, LOC_CITY_NAME_CARTHAGE, , CONTRACT 129, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
12, 9, LOC_CITY_NAME_PRESLAV, , CONTRACT 131, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 80.0, Build City Improvement
12, 10, LOC_CITY_NAME_LISBON, , CONTRACT 134, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
12, 11, LOC_CITY_NAME_KABUL, , CONTRACT 136, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 99.0, Build City Improvement
12, 12, LOC_CITY_NAME_YEREVAN, , , UNIT_WARRIOR, Default Specialization, , , Value 11.4
12, 12, LOC_CITY_NAME_YEREVAN, , CONTRACT 138, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
13, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_ARCHER, Default Specialization, , , Value 14.8
13, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 143, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 28.0, Build Trigger Unit
13, 3, PURCHASE, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 125
13, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 70, COMPLETED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 47.6, Build City Building
13, 5, LOC_CITY_NAME_ST_PETERSBURG, , , DISTRICT_LAVRA, Build City District, CONTRACT 118
13, 6, LOC_CITY_NAME_HATTUSA, , , UNIT_BUILDER, Build City Improvement, CONTRACT 128
13, 9, LOC_CITY_NAME_PRESLAV, , , UNIT_BUILDER, Build City Improvement, CONTRACT 131
13, 11, LOC_CITY_NAME_KABUL, , , UNIT_BUILDER, Build City Improvement, CONTRACT 136
13, 14, LOC_CITY_NAME_SEOUL, , CONTRACT 59, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
13, 14, LOC_CITY_NAME_SEOUL, , , UNIT_TRADER, Default Specialization, , , Value 19.2
14, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 149, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 351.0, Settle City Op
14, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 151, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 206.0, Build City Improvement
14, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 152, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
14, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 95, ACCEPTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 82.0, Build City Building
14, 3, LOC_CITY_NAME_AACHEN, , , BUILDING_STONEHENGE, Seek Target Wonder, CONTRACT 116
14, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 153, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 367.0, Settle City Op
14, 4, LOC_CITY_NAME_PARIS, , CONTRACT 155, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 396.0, Settle City Op
14, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 156, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 32.0, Build City Building
14, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 157, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 81.0, Build City Improvement
14, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 159, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 52.0, Build City Improvement
14, 7, LOC_CITY_NAME_JERUSALEM, , CONTRACT 119, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 321.8, Build City District
14, 7, LOC_CITY_NAME_JERUSALEM, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 49.5
14, 8, LOC_CITY_NAME_CARTHAGE, , , UNIT_BUILDER, Build City Improvement, CONTRACT 129
14, 12, LOC_CITY_NAME_YEREVAN, , , UNIT_BUILDER, Build City Improvement, CONTRACT 138
14, 12, LOC_CITY_NAME_YEREVAN, , CONTRACT 160, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 179.0, Build City District
15, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 163, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 118.0, Build City Improvement
15, 2, PURCHASE, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 143
15, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 111, ACCEPTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 68.0, Build City Building
15, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 143, COMPLETED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 28.0, Build Trigger Unit
15, 2, LOC_CITY_NAME_WASHINGTON, , , BUILDING_STONEHENGE, Seek Target Wonder, CONTRACT 123
