Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
1, 0, LOC_CITY_NAME_NIDAROS, -2.30, 0.45, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 1, LOC_CITY_NAME_LONDON, 2.07, -2.63, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 1, LOC_CITY_NAME_LONDON, , , UNIT_SCOUT, Default Specialization, , , Value 16.9
1, 2, LOC_CITY_NAME_WASHINGTON, -1.38, -0.32, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 2, LOC_CITY_NAME_WASHINGTON, , , UNIT_SCOUT, Default Specialization, , , Value 16.9
1, 3, LOC_CITY_NAME_DELHI, -5.75, 1.60, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.1, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 3, LOC_CITY_NAME_DELHI, , , UNIT_SCOUT, Default Specialization, , , Value 19.9
1, 4, LOC_CITY_NAME_MADRID, -2.53, -0.32, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.1, , 
1, 4, LOC_CITY_NAME_MADRID, , , UNIT_SCOUT, Default Specialization, , , Value 19.9
1, 5, LOC_CITY_NAME_XIAN, -4.37, -0.70, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 5, LOC_CITY_NAME_XIAN, , , UNIT_SCOUT, Default Specialization, , , Value 21.2
1, 6, LOC_CITY_NAME_KABUL, 0.45, -2.43, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.1, YIELD_FAITH: 0.0, , 
1, 6, LOC_CITY_NAME_KABUL, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 7, LOC_CITY_NAME_ZANZIBAR, 0.68, -2.24, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 7, LOC_CITY_NAME_ZANZIBAR, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 8, LOC_CITY_NAME_SEOUL, -2.07, -3.59, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 8, LOC_CITY_NAME_SEOUL, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 9, LOC_CITY_NAME_YEREVAN, 1.61, -3.01, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 9, LOC_CITY_NAME_YEREVAN, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 10, LOC_CITY_NAME_BANDAR_BRUNEI, 0.45, -3.97, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 10, LOC_CITY_NAME_BANDAR_BRUNEI, , , UNIT_SLINGER, Default Specialization, , , Value 4.5
1, 11, LOC_CITY_NAME_MOHENJO_DARO, -3.45, 0.64, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 11, LOC_CITY_NAME_MOHENJO_DARO, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 12, LOC_CITY_NAME_VALLETTA, 2.75, -3.01, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 12, LOC_CITY_NAME_VALLETTA, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 13, LOC_CITY_NAME_PRESLAV, -2.99, -0.51, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.1, , 
1, 13, LOC_CITY_NAME_PRESLAV, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 14, LOC_CITY_NAME_TORONTO, -3.45, -2.24, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 14, LOC_CITY_NAME_TORONTO, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
7, 1, LOC_CITY_NAME_LONDON, , CONTRACT 10, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
7, 1, LOC_CITY_NAME_LONDON, , , BUILDING_GRANARY, Default Specialization, , , Value 41.7
7, 4, LOC_CITY_NAME_MADRID, , CONTRACT 71, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 68.0, Build City Improvement
7, 4, LOC_CITY_NAME_MADRID, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 25
8, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 17, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
8, 2, LOC_CITY_NAME_WASHINGTON, , , BUILDING_GRANARY, Default Specialization, , , Value 44.7
8, 3, LOC_CITY_NAME_DELHI, , CONTRACT 19, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 83.0, Build City Improvement
8, 3, LOC_CITY_NAME_DELHI, , , UNIT_BUILDER, Build City Improvement, CONTRACT 67
8, 5, LOC_CITY_NAME_XIAN, , CONTRACT 31, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 84.0, Build City Improvement
8, 5, LOC_CITY_NAME_XIAN, , , UNIT_BUILDER, Build City Improvement, CONTRACT 73
9, 1, LOC_CITY_NAME_LONDON, , CONTRACT 92, SUBMITTED, NO_UNIT, BUILDING_STONEHENGE, NO_DISTRICT, VALUE 130.0, Seek Target Wonder
9, 1, LOC_CITY_NAME_LONDON, , CONTRACT 93, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 23.0, Build City Building
9, 3, LOC_CITY_NAME_DELHI, , CONTRACT 96, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 25.0, Build City Building
9, 4, LOC_CITY_NAME_MADRID, , CONTRACT 25, COMPLETED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 26.0, Build Trigger Unit
9, 4, LOC_CITY_NAME_MADRID, , , BUILDING_MONUMENT, Default Specialization, , , Value 25.4
9, 4, LOC_CITY_NAME_MADRID, , CONTRACT 100, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 25.0, Build City Building
9, 6, LOC_CITY_NAME_KABUL, , CONTRACT 103, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 26.0, Build City Building
9, 7, LOC_CITY_NAME_ZANZIBAR, , CONTRACT 104, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 21.0, Build City Building
9, 8, LOC_CITY_NAME_SEOUL, , CONTRACT 105, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 33.0, Build City Building
9, 9, LOC_CITY_NAME_YEREVAN, , CONTRACT 106, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 21.0, Build City Building
9, 10, LOC_CITY_NAME_BANDAR_BRUNEI, , CONTRACT 107, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 11.0, Build City Building
9, 12, LOC_CITY_NAME_VALLETTA, , CONTRACT 109, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 41.0, Build City Building
9, 13, LOC_CITY_NAME_PRESLAV, , CONTRACT 110, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 30.0, Build City Building
9, 14, LOC_CITY_NAME_TORONTO, , CONTRACT 111, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 19.0, Build City Building
10, 3, LOC_CITY_NAME_DELHI, , CONTRACT 67, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
10, 3, LOC_CITY_NAME_DELHI, , , BUILDING_MONUMENT, Build City Building, CONTRACT 96
10, 5, LOC_CITY_NAME_XIAN, , CONTRACT 73, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
10, 5, LOC_CITY_NAME_XIAN, , , BUILDING_GRANARY, Default Specialization, , , Value 35.0
10, 8, LOC_CITY_NAME_SEOUL, , , BUILDING_GRANARY, Build City Building, CONTRACT 105
11, 7, LOC_CITY_NAME_ZANZIBAR, , , UNIT_BUILDER, Build City Improvement, CONTRACT 41
11, 9, LOC_CITY_NAME_YEREVAN, , , UNIT_BUILDER, Build City Improvement, CONTRACT 46
11, 10, LOC_CITY_NAME_BANDAR_BRUNEI, , CONTRACT 49, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
11, 10, LOC_CITY_NAME_BANDAR_BRUNEI, , , BUILDING_GRANARY, Build City Building, CONTRACT 107
11, 11, LOC_CITY_NAME_MOHENJO_DARO, , , UNIT_BUILDER, Build City Improvement, CONTRACT 52
12, 1, LOC_CITY_NAME_LONDON, , , BUILDING_STONEHENGE, Seek Target Wonder, CONTRACT 92
12, 1, LOC_CITY_NAME_LONDON, , CONTRACT 117, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 32.0, Build Trigger Unit
12, 2, LOC_CITY_NAME_WASHINGTON, , , BUILDING_MONUMENT, Default Specialization, , , Value 25.2
12, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 119, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 22.0, Build Trigger Unit
12, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 120, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_CAMPUS, VALUE 130.0, Build City District
12, 3, LOC_CITY_NAME_DELHI, , CONTRACT 122, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 19.0, Build Trigger Unit
12, 4, LOC_CITY_NAME_MADRID, , CONTRACT 100, ACCEPTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 25.0, Build City Building
12, 4, LOC_CITY_NAME_MADRID, , , UNIT_SCOUT, Default Specialization, , , Value 24.5
12, 6, LOC_CITY_NAME_KABUL, , CONTRACT 125, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 88.0, Build City Improvement
12, 12, LOC_CITY_NAME_VALLETTA, , , BUILDING_GRANARY, Build City Building, CONTRACT 109
12, 12, LOC_CITY_NAME_VALLETTA, , CONTRACT 131, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 87.0, Build City Improvement
12, 13, LOC_CITY_NAME_PRESLAV, , CONTRACT 134, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 88.0, Build City Improvement
12, 14, LOC_CITY_NAME_TORONTO, , CONTRACT 137, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
13, 2, PURCHASE, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 119
13, 3, LOC_CITY_NAME_DELHI, , CONTRACT 96, COMPLETED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 47.6, Build City Building
13, 3, LOC_CITY_NAME_DELHI, , CONTRACT 122, ACCEPTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 19.0, Build Trigger Unit
13, 3, LOC_CITY_NAME_DELHI, , , BUILDING_GRANARY, Default Specialization, , , Value 30.6
13, 4, LOC_CITY_NAME_MADRID, , , UNIT_SCOUT, Default Specialization, , , Value 12.0
13, 5, LOC_CITY_NAME_XIAN, , , UNIT_SCOUT, Default Specialization, , , Value 30.6
13, 5, LOC_CITY_NAME_XIAN, , CONTRACT 146, SUBMITTED, NO_UNIT, BUILDING_STONEHENGE, NO_DISTRICT, VALUE 155.0, Seek Target Wonder
13, 11, LOC_CITY_NAME_MOHENJO_DARO, , CONTRACT 52, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
13, 11, LOC_CITY_NAME_MOHENJO_DARO, , , UNIT_WARRIOR, Default Specialization, , , Value 12.0
13, 14, LOC_CITY_NAME_TORONTO, , , UNIT_BUILDER, Build City Improvement, CONTRACT 137
14, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 148, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 357.0, Settle City Op
14, 4, LOC_CITY_NAME_MADRID, , CONTRACT 150, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 361.0, Settle City Op
14, 5, LOC_CITY_NAME_XIAN, , , BUILDING_STONEHENGE, Seek Target Wonder, CONTRACT 146
14, 5, LOC_CITY_NAME_XIAN, , CONTRACT 152, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 324.0, Settle City Op
14, 7, LOC_CITY_NAME_ZANZIBAR, , CONTRACT 41, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
14, 7, LOC_CITY_NAME_ZANZIBAR, , , BUILDING_GRANARY, Build City Building, CONTRACT 104
14, 9, LOC_CITY_NAME_YEREVAN, , CONTRACT 46, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
14, 9, LOC_CITY_NAME_YEREVAN, , , BUILDING_GRANARY, Build City Building, CONTRACT 106
14, 13, LOC_CITY_NAME_PRESLAV, , , UNIT_BUILDER, Build City Improvement, CONTRACT 134
15, 1, LOC_CITY_NAME_LONDON, , CONTRACT 154, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 358.0, Settle City Op
15, 3, LOC_CITY_NAME_DELHI, , CONTRACT 155, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 346.0, Settle City Op
15, 4, LOC_CITY_NAME_MADRID, , , UNIT_SETTLER, Settle City Op, CONTRACT 150
15, 4, LOC_CITY_NAME_MADRID, , CONTRACT 157, SUBMITTED, UNIT_TRADER, NO_BUILDING, NO_DISTRICT, VALUE 24.0, Build Trigger Unit
15, 10, LOC_CITY_NAME_BANDAR_BRUNEI, , CONTRACT 161, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 88.0, Build City Improvement
15, 14, LOC_CITY_NAME_TORONTO, , CONTRACT 137, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
15, 14, LOC_CITY_NAME_TORONTO, , , UNIT_GALLEY, Default Specialization, , , Value 22.4
16, 1, LOC_CITY_NAME_LONDON, , CONTRACT 162, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 25.0, Build City Building
16, 2, LOC_CITY_NAME_WASHINGTON, , , UNIT_SETTLER, Settle City Op, CONTRACT 148
16, 3, LOC_CITY_NAME_DELHI, , , UNIT_SETTLER, Settle City Op, CONTRACT 155
